NAME,Population,state,county,Year
"Jackson County, Indiana",42376,18,071,2010
"Jasper County, Indiana",33478,18,073,2010
"Jay County, Indiana",21253,18,075,2010
"Jefferson County, Indiana",32428,18,077,2010
"Jennings County, Indiana",28525,18,079,2010
"Johnson County, Indiana",139654,18,081,2010
"Knox County, Indiana",38440,18,083,2010
"Kosciusko County, Indiana",77358,18,085,2010
"LaGrange County, Indiana",37128,18,087,2010
"Lake County, Indiana",496005,18,089,2010
"LaPorte County, Indiana",111467,18,091,2010
"Lawrence County, Indiana",46134,18,093,2010
"Madison County, Indiana",131636,18,095,2010
"Marion County, Indiana",903393,18,097,2010
"Marshall County, Indiana",47051,18,099,2010
"Martin County, Indiana",10334,18,101,2010
"Miami County, Indiana",36903,18,103,2010
"Monroe County, Indiana",137974,18,105,2010
"Montgomery County, Indiana",38124,18,107,2010
"Morgan County, Indiana",68894,18,109,2010
"Newton County, Indiana",14244,18,111,2010
"Noble County, Indiana",47536,18,113,2010
"Ohio County, Indiana",6128,18,115,2010
"Orange County, Indiana",19840,18,117,2010
"Owen County, Indiana",21575,18,119,2010
"Parke County, Indiana",17339,18,121,2010
"Perry County, Indiana",19338,18,123,2010
"Pike County, Indiana",12845,18,125,2010
"Porter County, Indiana",164343,18,127,2010
"Posey County, Indiana",25910,18,129,2010
"Pulaski County, Indiana",13402,18,131,2010
"Putnam County, Indiana",37963,18,133,2010
"Randolph County, Indiana",26171,18,135,2010
"Ripley County, Indiana",28818,18,137,2010
"Rush County, Indiana",17392,18,139,2010
"St. Joseph County, Indiana",266931,18,141,2010
"Scott County, Indiana",24181,18,143,2010
"Shelby County, Indiana",44436,18,145,2010
"Spencer County, Indiana",20952,18,147,2010
"Starke County, Indiana",23363,18,149,2010
"Steuben County, Indiana",34185,18,151,2010
"Sullivan County, Indiana",21475,18,153,2010
"Switzerland County, Indiana",10613,18,155,2010
"Tippecanoe County, Indiana",172780,18,157,2010
"Tipton County, Indiana",15936,18,159,2010
"Union County, Indiana",7516,18,161,2010
"Vanderburgh County, Indiana",179703,18,163,2010
"Vermillion County, Indiana",16212,18,165,2010
"Vigo County, Indiana",107848,18,167,2010
"Wabash County, Indiana",32888,18,169,2010
"Warren County, Indiana",8508,18,171,2010
"Warrick County, Indiana",59689,18,173,2010
"Washington County, Indiana",28262,18,175,2010
"Wayne County, Indiana",68917,18,177,2010
"Wells County, Indiana",27636,18,179,2010
"White County, Indiana",24643,18,181,2010
"Whitley County, Indiana",33292,18,183,2010
"Floyd County, Indiana",80484,18,043,2020
"Delaware County, Indiana",111903,18,035,2020
"Elkhart County, Indiana",207047,18,039,2020
"Fayette County, Indiana",23398,18,041,2020
"Fountain County, Indiana",16479,18,045,2020
"Franklin County, Indiana",22785,18,047,2020
"Fulton County, Indiana",20480,18,049,2020
"Gibson County, Indiana",33011,18,051,2020
"Grant County, Indiana",66674,18,053,2020
"Greene County, Indiana",30803,18,055,2020
"Hamilton County, Indiana",347467,18,057,2020
"Hancock County, Indiana",79840,18,059,2020
"Harrison County, Indiana",39654,18,061,2020
"Hendricks County, Indiana",174788,18,063,2020
"Henry County, Indiana",48914,18,065,2020
"Howard County, Indiana",83658,18,067,2020
"Huntington County, Indiana",36662,18,069,2020
"Jackson County, Indiana",46428,18,071,2020
"Jasper County, Indiana",32918,18,073,2020
"Jay County, Indiana",20478,18,075,2020
"Jefferson County, Indiana",33147,18,077,2020
"Jennings County, Indiana",27613,18,079,2020
"Johnson County, Indiana",161765,18,081,2020
"Knox County, Indiana",36282,18,083,2020
"LaGrange County, Indiana",40446,18,087,2020
"Lake County, Indiana",498700,18,089,2020
"Lawrence County, Indiana",45011,18,093,2020
"Madison County, Indiana",130129,18,095,2020
"Marshall County, Indiana",46095,18,099,2020
"Martin County, Indiana",9812,18,101,2020
"Monroe County, Indiana",139718,18,105,2020
"Montgomery County, Indiana",37936,18,107,2020
"Newton County, Indiana",13830,18,111,2020
"Noble County, Indiana",47457,18,113,2020
"Orange County, Indiana",19867,18,117,2020
"Owen County, Indiana",21321,18,119,2020
"Perry County, Indiana",19170,18,123,2020
"Pike County, Indiana",12250,18,125,2020
"Posey County, Indiana",25222,18,129,2020
"Putnam County, Indiana",36726,18,133,2020
"Randolph County, Indiana",24502,18,135,2020
"Rush County, Indiana",16752,18,139,2020
"St. Joseph County, Indiana",272912,18,141,2020
"Shelby County, Indiana",45055,18,145,2020
"Spencer County, Indiana",19810,18,147,2020
"Steuben County, Indiana",34435,18,151,2020
"Sullivan County, Indiana",20817,18,153,2020
"Tippecanoe County, Indiana",186251,18,157,2020
"Tipton County, Indiana",15359,18,159,2020
"Vanderburgh County, Indiana",180136,18,163,2020
"Vermillion County, Indiana",15439,18,165,2020
"Wabash County, Indiana",30976,18,169,2020
"Warren County, Indiana",8440,18,171,2020
"Washington County, Indiana",28182,18,175,2020
"Wayne County, Indiana",66553,18,177,2020
"White County, Indiana",24688,18,181,2020
"Whitley County, Indiana",34191,18,183,2020
"Allen County, Indiana",385410,18,003,2020
"Blackford County, Indiana",12112,18,009,2020
"Carroll County, Indiana",20306,18,015,2020
"Clay County, Indiana",26466,18,021,2020
"Daviess County, Indiana",33381,18,027,2020
"DeKalb County, Indiana",43265,18,033,2020
"Dubois County, Indiana",43637,18,037,2020
"Kosciusko County, Indiana",80240,18,085,2020
"LaPorte County, Indiana",112417,18,091,2020
"Marion County, Indiana",977203,18,097,2020
"Miami County, Indiana",35962,18,103,2020
"Morgan County, Indiana",71780,18,109,2020
"Ohio County, Indiana",5940,18,115,2020
"Parke County, Indiana",16156,18,121,2020
"Porter County, Indiana",173215,18,127,2020
"Pulaski County, Indiana",12514,18,131,2020
"Ripley County, Indiana",28995,18,137,2020
"Scott County, Indiana",24384,18,143,2020
"Starke County, Indiana",23371,18,149,2020
"Switzerland County, Indiana",9737,18,155,2020
"Union County, Indiana",7087,18,161,2020
"Vigo County, Indiana",106153,18,167,2020
"Warrick County, Indiana",63898,18,173,2020
"Wells County, Indiana",28180,18,179,2020
"Adams County, Indiana",35809,18,001,2020
"Bartholomew County, Indiana",82208,18,005,2020
"Benton County, Indiana",8719,18,007,2020
"Boone County, Indiana",70812,18,011,2020
"Brown County, Indiana",15475,18,013,2020
"Cass County, Indiana",37870,18,017,2020
"Clark County, Indiana",121093,18,019,2020
"Clinton County, Indiana",33190,18,023,2020
"Crawford County, Indiana",10526,18,025,2020
"Dearborn County, Indiana",50679,18,029,2020
"Decatur County, Indiana",26472,18,031,2020
